Any	Tipus	Milers	Desti
2008	2. Resta de RDI	3570.8	Formacio
2008	1. Universitats	15599.50	Formacio
2008	5. Altres entitats	0.00	Incorporacio
2008	3. Empreses 	0.00	Incorporacio
2008	4. Hospitals i fundacions hospitalaries	0.00	Incorporacio
2008	2. Resta de RDI	184	Incorporacio
2008	1. Universitats	364.60	Incorporacio
2008	5. Altres entitats	297.30	Mobilitat
2008	3. Empreses 	0.00	Mobilitat
2008	4. Hospitals i fundacions hospitalaries	48.10	Mobilitat
2008	2. Resta de RDI	190.5	Mobilitat
2008	1. Universitats	2495.60	Mobilitat
2009	5. Altres entitats	1603.43	Formacio
2009	3. Empreses 	2138.16	Formacio
2009	4. Hospitals i fundacions hospitalaries	973.94	Formacio
2009	2. Resta de RDI	3286.78	Formacio
2009	1. Universitats	16180.39	Formacio
2009	5. Altres entitats	58.50	Incorporacio
2009	3. Empreses 	0.00	Incorporacio
2009	4. Hospitals i fundacions hospitalaries	0.00	Incorporacio
2009	2. Resta de RDI	138.7	Incorporacio
2009	1. Universitats	304.80	Incorporacio
2009	5. Altres entitats	17.00	Mobilitat
2009	3. Empreses 	0.00	Mobilitat
2009	4. Hospitals i fundacions hospitalaries	54.90	Mobilitat
2009	2. Resta de RDI	181.4	Mobilitat
2009	1. Universitats	2034.80	Mobilitat
2010	5. Altres entitats	83.55	Formacio
2010	3. Empreses 	73.15	Formacio
2010	4. Hospitals i fundacions hospitalaries	1084.97	Formacio
2010	2. Resta de RDI	3589.43	Formacio
2010	1. Universitats	18750.19	Formacio
2010	5. Altres entitats	14.66	Incorporacio
2010	3. Empreses 	0.00	Incorporacio
2010	4. Hospitals i fundacions hospitalaries	3.41	Incorporacio
2010	2. Resta de RDI	263.69	Incorporacio
2010	1. Universitats	313.42	Incorporacio
2010	5. Altres entitats	30.27	Mobilitat
2010	3. Empreses 	0.00	Mobilitat
2010	4. Hospitals i fundacions hospitalaries	112.04	Mobilitat
2010	2. Resta de RDI	263.02	Mobilitat
2010	1. Universitats	1757.87	Mobilitat
2011	5. Altres entitats	176.08	Formacio
2011	3. Empreses 	0.00	Formacio
2011	4. Hospitals i fundacions hospitalaries	0.00	Formacio
2011	2. Resta de RDI	2645.6	Formacio
2011	1. Universitats	19641.01	Formacio
2011	5. Altres entitats	0.00	Incorporacio
2011	3. Empreses 	0.00	Incorporacio
2011	4. Hospitals i fundacions hospitalaries	0.00	Incorporacio
2011	2. Resta de RDI	0	Incorporacio
2011	1. Universitats	0.00	Incorporacio
2011	5. Altres entitats	0.00	Mobilitat
2011	3. Empreses 	0.00	Mobilitat
2011	4. Hospitals i fundacions hospitalaries	0.00	Mobilitat
2011	2. Resta de RDI	279.59	Mobilitat
2011	1. Universitats	1508.72	Mobilitat
2012	5. Altres entitats	367.70	Formacio
2012	3. Empreses 	0.00	Formacio
2012	4. Hospitals i fundacions hospitalaries	0.00	Formacio
2012	2. Resta de RDI	2328.2	Formacio
2012	1. Universitats	13116.60	Formacio
2012	5. Altres entitats	0.00	Incorporacio
2012	3. Empreses 	0.00	Incorporacio
2012	4. Hospitals i fundacions hospitalaries	0.00	Incorporacio
2012	2. Resta de RDI	0	Incorporacio
2012	1. Universitats	0.00	Incorporacio
2012	5. Altres entitats	76.80	Mobilitat
2012	3. Empreses 	0.00	Mobilitat
2012	4. Hospitals i fundacions hospitalaries	0.00	Mobilitat
2012	2. Resta de RDI	319.3	Mobilitat
2012	1. Universitats	1636.50	Mobilitat
2013	5. Altres entitats	508.89	Formacio
2013	3. Empreses 	824.09	Formacio
2013	4. Hospitals i fundacions hospitalaries	0.00	Formacio
2013	2. Resta de RDI	2576.66	Formacio
2013	1. Universitats	14197.18	Formacio
2013	5. Altres entitats	0.00	Incorporacio
2013	3. Empreses 	0.00	Incorporacio
2013	4. Hospitals i fundacions hospitalaries	0.00	Incorporacio
2013	2. Resta de RDI	17.1	Incorporacio
2013	1. Universitats	500.50	Incorporacio
2013	5. Altres entitats	6.31	Mobilitat
2013	3. Empreses 	0.00	Mobilitat
2013	4. Hospitals i fundacions hospitalaries	12.89	Mobilitat
2013	2. Resta de RDI	1314.98	Mobilitat
2013	1. Universitats	578.06	Mobilitat
